出発地のノード番号,到着側のノード番号,ウェイの距離[m]
38287,38285,39.08
38285,38287,39.08
38285,21306,33.32
21306,38285,33.32
21306,38284,59.8
38284,21306,59.8
38284,74648,11.6
74648,38284,11.6
74648,74578,117.42
74578,74648,117.42
74578,74524,51.83
74524,74578,51.83
74524,18297,56.9
18297,74524,56.9
18297,74440,44.96
74440,18297,44.96
74440,18295,62.08
18295,74440,62.08
18295,18294,16.65
18294,18295,16.65
18294,18293,20.78
18293,18294,20.78
18293,6192,24.08
6192,18293,24.08
6192,21307,21.9
21307,6192,21.9
21307,74340,52.09
74340,21307,52.09
74340,18292,37.8
18292,74340,37.8
18292,18291,63.43
18291,18292,63.43
18291,74268,40.77
74268,18291,40.77
74268,18289,80.07
18289,74268,80.07
18289,21308,42.44
21308,18289,42.44
21308,18281,20.06
18281,21308,20.06
18281,18272,25.6
18272,18281,25.6
18272,21309,110.22
21309,18272,110.22
21309,74120,118.79
74120,21309,118.79
74120,32347,137.73
32347,74120,137.73
21309,74200,128.27
74200,21309,128.27
74200,14979,97.91
14979,74200,97.91
14979,21310,52.83
21310,14979,52.83
21310,6153,68.76
6153,21310,68.76
6153,6170,65.81
6170,6153,65.81
6170,21311,212.94
21311,6170,212.94
21311,14980,85.49
14980,21311,85.49
14980,21312,44.12
21312,14980,44.12
21311,74274,131.35
74274,21311,131.35
74274,19583,51.87
19583,74274,51.87
19583,60254,56.68
60254,19583,56.68
60254,19578,11.64
19578,60254,11.64
12717,5887,59.26
5887,12717,59.26
5887,43567,49.09
43567,5887,49.09
43567,24387,102.09
24387,43567,102.09
24387,2069,8.09
2069,24387,8.09
2069,12718,7.72
12718,2069,7.72
12718,24386,40.38
24386,12718,40.38
24386,24385,11.51
24385,24386,11.51
24385,81912,48.9
81912,24385,48.9
81912,9367,100.57
9367,81912,100.57
9367,12719,5.67
12719,9367,5.67
86778,26177,123.27
26177,86778,123.27
26177,87512,166.55
87512,26177,166.55
87512,86779,36.13
86779,87512,36.13
86779,26210,130.99
26210,86779,130.99
26210,86780,175.81
86780,26210,175.81
86780,86781,63.43
86781,86780,63.43
86781,86782,51.16
86782,86781,51.16
86782,86783,46.68
86783,86782,46.68
86783,86784,64.91
86784,86783,64.91
86784,86785,24.34
86785,86784,24.34
86785,86786,54.72
86786,86785,54.72
86786,86787,40.39
86787,86786,40.39
86787,86788,62.0
86788,86787,62.0
86788,26348,116.63
26348,86788,116.63
26348,26351,25.0
26351,26348,25.0
26351,26437,258.1
26437,26351,258.1
26437,86789,62.04
86789,26437,62.04
86789,86790,37.77
86790,86789,37.77
86790,86791,33.96
86791,86790,33.96
86791,86792,40.51
86792,86791,40.51
86792,86793,72.7
86793,86792,72.7
86793,26502,10.0
26502,86793,10.0
26502,86794,44.24
86794,26502,44.24
86794,38975,70.12
38975,86794,70.12
38975,86795,54.81
86795,38975,54.81
86795,86796,75.51
86796,86795,75.51
86796,86797,42.3
86797,86796,42.3
86797,86798,40.05
86798,86797,40.05
86798,86799,54.3
86799,86798,54.3
86799,26715,161.06
26715,86799,161.06
26715,86800,89.79
86800,26715,89.79
86800,26761,39.28
26761,86800,39.28
26761,86801,224.06
86801,26761,224.06
86801,26998,190.03
26998,86801,190.03
26998,27011,36.59
27011,26998,36.59
27011,86802,28.62
86802,27011,28.62
86802,87225,272.97
87225,86802,272.97
87225,86804,71.92
86804,87225,71.92
86804,34297,30.02
34297,86804,30.02
34297,86805,19.92
86805,34297,19.92
86805,27305,22.82
27305,86805,22.82
27305,86806,33.85
86806,27305,33.85
86806,86814,122.86
86814,86806,122.86
86814,86815,112.03
86815,86814,112.03
86815,86816,33.46
86816,86815,33.46
86816,86817,51.33
86817,86816,51.33
86817,27517,46.46
27517,86817,46.46
27517,86818,82.38
86818,27517,82.38
86818,86819,78.28
86819,86818,78.28
86819,86822,68.09
86822,86819,68.09
86822,86823,108.16
86823,86822,108.16
86823,27672,70.25
27672,86823,70.25
27672,12976,47.86
12976,27672,47.86
12976,27758,144.33
27758,12976,144.33
27758,27803,95.86
27803,27758,95.86
27803,86824,68.86
86824,27803,68.86
86824,53435,101.05
53435,86824,101.05
53435,27889,73.54
27889,53435,73.54
27889,86825,235.86
86825,27889,235.86
86825,49195,52.98
49195,86825,52.98
49195,86826,172.66
86826,49195,172.66
86826,86827,122.25
86827,86826,122.25
86827,28211,71.7
28211,86827,71.7
28211,86828,68.38
86828,28211,68.38
86828,86829,36.74
86829,86828,36.74
86829,86830,117.72
86830,86829,117.72
86830,86831,150.07
86831,86830,150.07
86831,28478,39.63
28478,86831,39.63
28478,86832,28.33
86832,28478,28.33
10559,10561,32.28
10561,86185,55.32
10563,66703,38.92
19220,19221,113.03
19221,19220,113.03
19221,7079,92.21
7079,19221,92.21
36032,36033,154.36
36033,36032,154.36
36033,64045,56.09
64045,36033,56.09
64045,36034,56.27
36034,64045,56.27
36034,36035,25.35
36035,36034,25.35
36035,37786,52.5
37786,36035,52.5
37786,36036,4.15
