ノード番号,緯度,経度,3次メッシュID
66380,36.6219941,137.3129239,54377245
66381,36.6220349,137.3186288,54377245
66382,36.7282717,137.2850923,5537272
66383,36.7282791,137.2848346,5537272
66384,36.7284003,137.2845553,5537272
66385,36.7285917,137.2843437,5537272
66386,36.7287812,137.2842515,5537272
66387,36.728621,137.2836131,5537272
66388,36.729293,137.2841686,5537272
66389,36.7290278,137.28394,5537272
66390,36.6221357,137.3217602,54377245
66391,36.7298349,137.2845592,5537272
66392,36.7308631,137.3014797,5537274
66393,36.7307266,137.2972669,5537273
66394,36.7308355,137.2950293,5537273
66395,36.7304251,137.2926124,5537273
66396,36.7285772,137.2930587,5537273
66397,36.7257709,137.2946221,5537273
66398,36.726513,137.2896769,5537273
66399,36.7266723,137.2957768,5537273
66400,36.6218823,137.3221786,54377245
66401,36.6221202,137.3139394,54377245
66402,36.62216,137.3170749,54377245
66403,36.7290464,137.2963862,5537273
66404,36.7323319,137.2915845,5537273
66405,36.7325703,137.2904091,5537273
66406,36.7323349,137.289388,5537273
66407,36.7331624,137.2896461,5537273
66408,36.7322469,137.2898213,5537273
66409,36.7330758,137.2900816,5537273
66410,36.7333456,137.2887521,5537283
66411,36.7337356,137.2884,5537283
66412,36.7326138,137.2885322,5537273
66413,36.7335608,137.2893124,5537283
66414,36.7332058,137.2910863,5537273
66415,36.7344033,137.2913256,5537283
66416,36.7346935,137.2899583,5537283
66417,36.735773,137.2901866,5537283
66418,36.7346783,137.2914306,5537283
66419,36.7346884,137.2904425,5537283
66420,36.7357103,137.2906512,5537283
66421,36.6222242,137.3233151,54377245
66422,36.7355734,137.2916195,5537283
66423,36.7362089,137.2898039,5537283
66424,36.7360153,137.2912048,5537283
66425,36.7347348,137.2929258,5537283
66426,36.7365782,137.2898782,5537283
66427,36.7378051,137.2949368,5537283
66428,36.6221778,137.3221068,54377245
66429,36.622213,137.3162921,54377245
66430,36.7363874,137.2912838,5537283
66431,36.6222073,137.3158241,54377245
66432,36.6512875,137.2176454,54377187
66433,36.6517475,137.2176063,54377187
66434,36.7347334,137.2934484,5537283
66435,36.6221914,137.3221857,54377245
66436,36.6527976,137.2176385,54377187
66437,36.737233,137.2947214,5537283
66438,36.653423,137.2175675,54377187
66439,36.6539596,137.2175419,54377187
66440,36.6541243,137.2175429,54377187
66441,36.6549519,137.2177117,54377187
66442,36.6555429,137.2178424,54377187
66443,36.6509512,137.1248585,54377089
66444,36.7368259,137.2953077,5537283
66445,36.6561718,137.2181914,54377187
66446,36.7368159,137.2954358,5537283
66447,36.7368024,137.2958202,5537283
66448,36.6568258,137.2186041,54377187
66449,36.6572389,137.2187972,54377187
66450,36.6580566,137.2189474,54377187
66451,36.6590549,137.219162,54377197
66452,36.730223,137.3013457,5537274
66453,36.7075197,137.1128238,5537049
66454,36.667565,137.2212744,553717
66455,36.666508,137.2209537,54377197
66456,36.666028,137.2208609,54377197
66457,36.6645716,137.2204924,54377197
66458,36.6637042,137.2202462,54377197
66459,36.6624373,137.2199237,54377197
66460,36.6616972,137.2197306,54377197
66461,36.6225106,137.3054017,54377244
66462,36.7046016,137.1710099,5537143
66463,36.7045807,137.1593879,5537142
66464,36.704686,137.1710625,5537143
66465,36.7047577,137.1711166,5537143
66466,36.7047604,137.1593329,5537142
66467,36.7049012,137.1592836,5537142
66468,36.7050273,137.1592804,5537142
66469,36.7050589,137.1714477,5537143
66470,36.6225514,137.3055239,54377244
66471,36.7051167,137.1714952,5537143
66472,36.7054544,137.1714955,5537143
66473,36.7054928,137.1715006,5537143
66474,36.7055198,137.171521,5537143
66475,36.7055696,137.1722054,5537143
66476,36.7058526,137.1725929,5537143
66477,36.7059212,137.1726592,5537143
66478,36.7076013,137.103505,5537048
66479,36.7076366,137.1036983,5537048
66480,36.7076912,137.1042821,5537048
66481,36.7077106,137.1146188,5537049
66482,36.7077775,137.1050627,5537048
66483,36.7077981,137.1053014,5537048
66484,36.7078209,137.105516,5537048
